CODIGO,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INST,altitud,latitud,longitud,DEPARTAMEN,MUNICIPIO,AREA_OPERA,AREA_HIDRO,ZONA_HIDRO,ENTIDAD,CORRIENTE,FECHA_SUSP,SUBZONA_HI,COMID,new_COMID,watershed,subbasin
44167020,SANTA ISABEL [44167020],Limnimetrica,Convencional,Activa,4/15/84,118,-1.09875,-71.11875,Amazonas,Santander (Araracuara),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,142170,9027236,south_america,geoglows
44187010,PUERTO CORDOBA [44187010],Limnimetrica,Convencional,Suspendida,4/15/84,104,-1.286540989,-69.72929234,Amazonas,La Pedrera,Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,8/28/14,Rio Caqueta Bajo,142358,9027705,south_america,geoglows
44187030,BACURI [44187030],Limnimetrica,Convencional,Activa,5/15/84,101,-1.235416667,-69.46958333,Amazonas,La Pedrera,Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,142618,9028250,south_america,geoglows
44197010,PUERTO CAIMAN [44197010],Limnimetrica,Convencional,Suspendida,4/15/84,108,-1.550416667,-70.03291667,Amazonas,La Pedrera,Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,12/15/96,Rio Caqueta Bajo,142800,9028678,south_america,geoglows
44197020,VILLARREAL [44197020],Limnigrafica,Convencional,Activa,5/15/92,102,-1.304583333,-69.61791667,Amazonas,La Pedrera,Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,142618,9027768,south_america,geoglows
47047010,EL REFUGIO - AMAZONAS [47047010],Limnimetrica,Convencional,Suspendida,4/15/86,140,-0.559258253,-74.38782509,Amazonas,Puerto Alegria,Area Operativa 07 - Narino-Putumayo,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,10/4/10,Rio Putumayo Directos (mi),142618,9027768,south_america,geoglows
47047020,PUERTO TOLOZA [47047020],Limnimetrica,Convencional,Activa,4/15/86,135,-1.05156263,-74.07869246,Amazonas,Puerto Alegria,Area Operativa 07 - Narino-Putumayo,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,,Rio Putumayo Directos (mi),142011,9026870,south_america,geoglows
47047040,SAN AGUSTIN [47047040],Limnimetrica,Convencional,Activa,4/15/86,125,-1.610023869,-73.4973208,Amazonas,El Encanto,Area Operativa 07 - Narino-Putumayo,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,,Rio Putumayo Directos (mi),143013,9029189,south_america,geoglows
47057010,SAN RAFAEL [47057010],Limnimetrica,Convencional,Activa,4/15/86,125,-1.688624958,-73.24041667,Amazonas,El Encanto,Area Operativa 07 - Narino-Putumayo,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Cara Parana,,Rio Cara-Parana,143073,9029338,south_america,geoglows
47067010,ENCANTO EL [47067010],Limnimetrica,Convencional,Activa,4/15/86,120,-1.77253313,-73.20291667,Amazonas,El Encanto,Area Operativa 07 - Narino-Putumayo,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,,Rio Putumayo Bajo,143257,9029485,south_america,geoglows
47067020,ESTRECHO-MARANDUA [47067020],Limnimetrica,Convencional,Activa,4/15/86,120,-2.445824097,-72.68312212,Amazonas,Puerto Arica,Area Operativa 07 - Narino-Putumayo,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,,Rio Putumayo Bajo,144197,9031915,south_america,geoglows
47077010,CHORRERA LA [47077010],Limnimetrica,Convencional,Activa,10/15/85,160,-1.447479025,-72.79971527,Amazonas,La Chorrera,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Igara Parana,,Rio Igara-Parana,142664,9028357,south_america,geoglows
47087030,TROMPETEROS [47087030],Limnimetrica,Convencional,Suspendida,8/23/07,90,-2.267314428,-71.51625001,Amazonas,Puerto Arica,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,3/28/19,Rio Putumayo Bajo,144114,9031434,south_america,geoglows
47097010,BICARCO [47097010],Limnimetrica,Convencional,Suspendida,5/15/86,110,-2.507135268,-70.29869807,Amazonas,Tarapaca,Area Operativa 07 - Narino-Putumayo,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,10/15/93,Rio Putumayo Bajo,144375,9032362,south_america,geoglows
47107010,TARAPACA [47107010],Limnigrafica,Convencional,Activa,5/15/86,98,-2.898646695,-69.73871775,Amazonas,Tarapaca,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Putumayo,,Rio Putumayo Bajo,145036,9033593,south_america,geoglows
47107030,SANTA LUCIA [47107030],Limnimetrica,Convencional,Activa,8/15/94,72,-2.883749993,-69.82708334,Amazonas,Tarapaca,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Cotuhe,,Rio Cotuhe,144919,9033603,south_america,geoglows
4801700101,PUERTO TRIUNFO [4801700101],Limnimetrica,Convencional,Activa,9/13/17,94,-3.95772473,-70.17677579,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Amazonas - Directos,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Amazonas,,Directos Rio Amazonas (mi),146916,9038162,south_america,geoglows
48017010,LETICIA [48017010],Limnigrafica,Convencional,Activa,5/15/86,120,-4.224585155,-69.95291468,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Amazonas - Directos,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Amazonas,,Directos Rio Amazonas (mi),147604,9039635,south_america,geoglows
48017020,PUERTO NARINO [48017020],Limnimetrica,Convencional,Suspendida,2/15/87,80,-3.812118961,-70.36378561,Amazonas,Puerto Narino,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Amazonas - Directos,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Amazonas,9/20/11,Directos Rio Amazonas (mi),146593,9037415,south_america,geoglows
48017030,NAZARETH [48017030],Limnigrafica,Convencional,Activa,11/15/87,119,-4.124917749,-70.04728584,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Amazonas - Directos,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Amazonas,,Directos Rio Amazonas (mi),147303,9038835,south_america,geoglows
48017040,BOCAS DEL ATACUARI [48017040],Limnimetrica,Convencional,Suspendida,3/15/89,93,-3.837252795,-70.63580357,Amazonas,Puerto Narino,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Amazonas - Directos,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Atacuari,11/29/10,Directos Rio Amazonas (mi),146677,9037611,south_america,geoglows
48017050,BOCATOMA YAGUARCACA [48017050],Limnimetrica,Convencional,Suspendida,12/15/89,83,-4.192529679,-69.96047024,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Amazonas - Directos,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Quebrada Yahuarcaca,1/14/14,Directos Rio Amazonas (mi),147604,9039635,south_america,geoglows
48017070,PARQUE AMACAYACU [48017070],Limnimetrica,Convencional,Suspendida,11/15/92,82,-3.83231712,-70.28184991,Amazonas,Leticia,Area Operativa 11 - Cundinamarca-Amazonas-San Andres,Amazonas,Amazonas - Directos,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Amazonas,9/20/11,Directos Rio Amazonas (mi),146916,9037570,south_america,geoglows
11057020,SAN ANTONIO PADUA  - AUT [11057020],Limnimetrica,Automatica con Telemetria,Activa,5/14/73,18,6.282532821,-76.77251677,Antioquia,Vigia Del Fuerte,Area Operativa 01 - Antioquia-Choco,Caribe,Atrato - Darien,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Atrato,,Directos Atrato entre rios Bebarama y Murri (md),133439,9007254,south_america,geoglows
11077020,LA MAGDALENA - AUT [11077020],Limnigrafica,Automatica con Telemetria,Activa,9/14/72,1770,6.29875,-76.13541667,Antioquia,Urrao,Area Operativa 01 - Antioquia-Choco,Caribe,Atrato - Darien,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Penderisco,,Rio Murri,133421,9007202,south_america,geoglows
11077030,PLAYA LA [11077030],Limnimetrica,Convencional,Suspendida,9/15/75,22,6.61041667,-76.76021938,Antioquia,Vigia Del Fuerte,Area Operativa 01 - Antioquia-Choco,Caribe,Atrato - Darien,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Murri,2/15/02,Rio Murri,133168,9006651,south_america,geoglows
11117010,ANIL EL [11117010],Limnigrafica,Automatica sin Telemetria,Activa,3/15/72,650,6.882083333,-76.15541667,Antioquia,Uramita,Area Operativa 01 - Antioquia-Choco,Caribe,Atrato - Darien,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Riosucio,,Rio Sucio,132934,9006094,south_america,geoglows
11117030,TASCON [11117030],Limnigrafica,Convencional,Suspendida,10/15/76,300,7.081286093,-76.42685913,Antioquia,Dabeiba,Area Operativa 01 - Antioquia-Choco,Caribe,Atrato - Darien,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Riosucio,11/15/04,Rio Sucio,132745,9005673,south_america,geoglows
11117040,MUTATA  - AUT [11117040],Limnigrafica,Automatica con Telemetria,Activa,10/14/76,132,7.23125,-76.43875,Antioquia,Mutata,Area Operativa 01 - Antioquia-Choco,Caribe,Atrato - Darien,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Riosucio,,Rio Sucio,132745,9005438,south_america,geoglows
11117050,DABEIBA 2  - AUT [11117050],Limnimetrica,Automatica con Telemetria,Activa,9/14/76,650,7.004583334,-76.26541667,Antioquia,Dabeiba,Area Operativa 01 - Antioquia-Choco,Caribe,Atrato - Darien,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Riosucio,,Rio Sucio,132809,9005808,south_america,geoglows
12017010,CHIGORODO [12017010],Limnimetrica,Automatica con Telemetria,Activa,10/14/76,20,7.677083334,-76.67875,Antioquia,Chigorodo,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Chigorodo,,Rio Leon,132242,9004593,south_america,geoglows
12017020,BARRANQUILLITA  - AUT [12017020],Limnimetrica,Automatica con Telemetria,Activa,3/15/77,22,7.568390776,-76.72312822,Antioquia,Chigorodo,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Leon,,Rio Leon,132466,9004765,south_america,geoglows
12017060,APARTADO [12017060],Limnimetrica,Convencional,Suspendida,3/15/77,65,7.880812378,-76.62291667,Antioquia,Apartado,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Apartado,3/10/13,Rio Leon,0,9004210,south_america,geoglows
12017070,CERRAZON LA [12017070],Limnigrafica,Automatica sin Telemetria,Suspendida,9/14/86,40,7.71881683,-76.58655357,Antioquia,Chigorodo,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Chigorodo,10/11/18,Rio Leon,0,9004577,south_america,geoglows
12017080,CAREPA [12017080],Limnimetrica,Convencional,Suspendida,3/15/77,62,7.761317036,-76.66844246,Antioquia,Carepa,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Carepa,10/1/11,Rio Leon,0,9004420,south_america,geoglows
12027010,PUEBLO BELLO  - AUT [12027010],Limnimetrica,Automatica con Telemetria,Activa,8/15/77,10,8.205441271,-76.5237746,Antioquia,Turbo,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Mulatos,,Rio Mulatos y otros directos al Caribe,131844,9003641,south_america,geoglows
12027040,CURRULAO [12027040],Limnimetrica,Convencional,Suspendida,9/15/77,51,7.992373737,-76.64194246,Antioquia,Turbo,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Currulao,5/10/11,Rio Mulatos y otros directos al Caribe,131932,9003963,south_america,geoglows
12027050,PUEBLO NUEVO [12027050],Limnimetrica,Convencional,Activa,8/15/78,25,8.417916666,-76.62791667,Antioquia,Necocli,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Mulatos,,Rio Mulatos y otros directos al Caribe,131657,9003388,south_america,geoglows
12027060,DOS EL [12027060],Limnimetrica,Convencional,Suspendida,8/15/84,50,8.124457733,-76.70402579,Antioquia,Turbo,Area Operativa 01 - Antioquia-Choco,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Turbo,8/18/11,Rio Mulatos y otros directos al Caribe,131832,9003758,south_america,geoglows
12037010,CANDELARIA LA [12037010],Limnigrafica,Convencional,Activa,6/15/77,5,8.662926538,-76.44625987,Antioquia,Arboletes,Area Operativa 02 - Atlantico-Bolivar-Sucre,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,San Juan D Uraba,,Rio San Juan,131675,9002984,south_america,geoglows
12037020,LAJA LA HACIENDA [12037020],Limnimetrica,Convencional,Suspendida,5/15/77,2,8.714583336,-76.49291667,Antioquia,San Juan De Uraba,Area Operativa 02 - Atlantico-Bolivar-Sucre,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,San Juan D Uraba,4/15/95,Rio San Juan,131675,9002901,south_america,geoglows
12037030,EL CARMELO [12037030],Limnigrafica,Convencional,Activa,5/15/77,20,8.628750002,-76.38958334,Antioquia,Arboletes,Area Operativa 02 - Atlantico-Bolivar-Sucre,Caribe,Caribe - Litoral,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,San Juan D Uraba,,Rio San Juan,131675,9003200,south_america,geoglows
23057140,SAN MIGUEL - AUT [23057140],Limnigrafica,Automatica con Telemetria,Activa,8/15/74,176,5.732083333,-74.72541667,Antioquia,Sonson,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,La Miel,,Rio La Miel (Samana),133892,9008331,south_america,geoglows
23077020,PUENTE FERROCARRIL [23077020],Limnigrafica,Convencional,Activa,7/15/73,1638,6.027916667,-74.63791667,Antioquia,Puerto Nare,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Cocorna,,Directos Magdalena Medio entre rios La Miel y Nare,133653,9007721,south_america,geoglows
23077030,PUERTO PERALES [23077030],Limnimetrica,Convencional,Suspendida,8/15/74,144,5.983281595,-74.5981369,Antioquia,Puerto Triunfo,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena,1/6/16,Directos Magdalena Medio entre rios La Miel y Nare,133712,9007781,south_america,geoglows
23077050,SAN FERNANDO P [23077050],Limnimetrica,Convencional,Suspendida,10/15/79,145,5.88794791,-74.62352579,Antioquia,Puerto Triunfo,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena,11/30/09,Directos Magdalena Medio entre rios La Miel y Nare,133752,9007966,south_america,geoglows
23087150,PUENTE REAL  - AUT [23087150],Limnigrafica,Automatica con Telemetria,Activa,5/14/73,820,6.141421087,-75.3901369,Antioquia,Rionegro (Antioquia),Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Negro,,Rio Nare,133562,9007519,south_america,geoglows
23087160,CARAMANTA  - AUT [23087160],Limnigrafica,Automatica con Telemetria,Activa,7/14/73,1900,6.507916669,-74.86520781,Antioquia,San Roque,Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Nus,,Rio Nare,133442,9006931,south_america,geoglows
23087180,SIRPES LOS [23087180],Limnigrafica,Automatica sin Telemetria,Suspendida,5/14/73,375,6.372525324,-75.16983623,Antioquia,Concepcion (Antioquia),Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Quebrada La Concepcion,10/11/18,Rio Nare,133428,9006988,south_america,geoglows
23087190,LA GARRUCHA - AUT [23087190],Limnimetrica,Automatica con Telemetria,Activa,6/14/73,980,5.998682854,-74.93875,Antioquia,San Luis (Antioquia),Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Samana Norte,,Rio Nare,133722,9007823,south_america,geoglows
23087200,PAILANIA [23087200],Limnigrafica,Convencional,Activa,7/15/73,285,5.972531558,-75.12727579,Antioquia,Cocorna,Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Santo Domingo,,Rio Nare,133723,9007825,south_america,geoglows
23087210,CANTERAS - AUT [23087210],Limnigrafica,Automatica con Telemetria,Activa,7/15/73,1274,6.280416667,-74.67708333,Antioquia,Puerto Nare,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Nare,,Rio Nare,133441,9007255,south_america,geoglows
23087230,PUERTO BELLO  - AUT [23087230],Limnimetrica,Automatica con Telemetria,Activa,6/14/79,1729,6.209921352,-74.61730357,Antioquia,Puerto Nare,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Nare,,Rio Nare,133458,9007305,south_america,geoglows
23087260,COLTEPUNTO RNS 19 [23087260],Limnigrafica,Convencional,Activa,8/15/77,280,6.170416667,-75.36708333,Antioquia,Rionegro (Antioquia),Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Quebrada La Cimarrona,,Rio Nare,133562,9007415,south_america,geoglows
23087300,CASAMIA [23087300],Limnimetrica,Convencional,Suspendida,5/15/92,223,6.140143301,-75.38674802,Antioquia,Rionegro (Antioquia),Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Quebrada La Pereira,8/28/14,Rio Nare,133562,9007519,south_america,geoglows
23087660,PUENTE LA FERIA  - AUT [23087660],Limnigrafica,Automatica con Telemetria,Activa,5/14/92,2100,6.170077451,-75.34805312,Antioquia,Marinilla,Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Marinilla,,Rio Nare,133493,9007382,south_america,geoglows
23087670,RIOTEX [23087670],Limnigrafica,Automatica sin Telemetria,Activa,3/15/92,2114,6.182083333,-75.36625,Antioquia,Rionegro (Antioquia),Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Quebrada La Mosca,,Rio Nare,133492,9007356,south_america,geoglows
23087830,FRESERA LA [23087830],Limnigrafica,Automatica sin Telemetria,Suspendida,9/14/93,650,6.197671304,-75.34427579,Antioquia,Rionegro (Antioquia),Area Operativa 01 - Antioquia-Choco,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Negro,10/11/18,Rio Nare,133493,9007331,south_america,geoglows
23097030,PUERTO BERRIO - AUT [23097030],Limnigrafica,Automatica con Telemetria,Activa,1/15/36,111,6.484171886,-74.40973303,Antioquia,Puerto Berrio,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena,,Rio San Bartolo y otros directos al Magdalena Medio,133243,9006790,south_america,geoglows
23097040,PUERTO INMARCO [23097040],Limnigrafica,Convencional,Activa,6/15/73,1371,6.219198326,-74.57895186,Antioquia,Puerto Nare,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena,,Rio San Bartolo y otros directos al Magdalena Medio,133455,9007292,south_america,geoglows
