OBJECTID;CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;observacion;CORRIENTE;FECHA_SUSPENSION;SUBZONA_HIDROGRAFICA;ENTIDAD;subred
11;52035040;VIENTO LIBRE - AUT [52035040];Climática Ordinaria;TEST005;En Mantenimiento;2004-03-01;1400;1.62;-77.34;Nariño;Taminango;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Cambio de Caegoria a CO. Sg. Solicitud de AO7 e Informatica  REQ 2020-001745;0;;Río Patia Alto;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Nariñense-Pacifico,Radiación Ultravioleta,Radiación Visible,
12;21017050;PITALITO 2 - AUT [21017050];Limnimétrica;Convencional;Activa;1972-05-15;1250;1.84883333;-76.05244444;Huila;Pitalito;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Actualizada Categoria y Tecnologia por solicitud de la coordinadora del AO. (28022023);Guarapas;;Alto Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Alto Magdalena Huila -Tolima,RED ALERTAS - AREA OPERATIVA 04,
13;51025060;BIOTOPO - AUT [51025060];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-12-12;512;1.40863889;-78.28161111;Nariño;Barbacoas;Area Operativa 07 - Nariño-Putumayo;Pacifico;Mira;22/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;0;;Río Mira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
14;51039010;TUMACO - AUT [51039010];Mareográfica;TEST005;Activa;1951-09-15;0;1.81930556;-78.73027778;Nariño;Tumaco;Area Operativa 07 - Nariño-Putumayo;Pacifico;Mira;;Pacifico;;Río Rosario;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
15;51027060;SAN JUAN MIRA - AUT [51027060];Limnigráfica;TEST005;Activa;1980-12-15;2;1.42388889;-78.67027778;Nariño;Tumaco;Area Operativa 07 - Nariño-Putumayo;Pacifico;Mira;Actualizada Tecnología y Tipo de Transmisión por solicitud del coordinador del AO. (14022023);Mira;;Río Mira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Nariñense-Pacifico,RED ALERTAS - AREA OPERATIVA 07,
16;44037060;FLORENCIA-HACHA [44037060];Limnimétrica;Convencional;Activa;1971-02-15;270;1.62116667;-75.61922222;Caquetá;Florencia (Caquetá);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Actualizadas categoria de LG a LM y Tecnologia por solicitud de la coordinadora del AO (07032023);Hacha;;Río Orteguaza;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
17;51020011;Piedrancha - - AUT [51020011];Pluviográfica;Automática con Telemetría;Activa;2016-07-01;1830;1.14152778;-77.92897222;Nariño;Mallama (Piedrancha);Area Operativa 07 - Nariño-Putumayo;Pacifico;Mira;;0;;Río Mira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
18;44015060;ACUEDUCTO MOCOA - AUT [44015060];Climática Principal;TEST005;En Mantenimiento;2006-03-29;650;1.15733333;-76.65183333;Putumayo;Mocoa;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;;0;;Alto Caqueta;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Piedemonte Caqueta y Putumayo,Radiación Ultravioleta,Radiación Visible,
19;52045080;UNIVERSIDAD DE NARINO  - AUT [52045080];Climática Ordinaria;TEST005;Activa;2004-04-13;2626;1.23;-77.28;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;"Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación.
Cambio de Caegoria a CO. Sg. Solicitud de AO7 e Informatica  REQ 2020-001745";0;;Río Juananbú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Nariñense-Pacifico,Radiación Ultravioleta,Radiación Visible,
20;21047010;PUENTE BALSEADERO [21047010];Limnigráfica;Automática con Telemetría;Suspendida;1971-09-05;688;2.23236111;-75.64855556;Huila;Agrado;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Suspensión a parir del 12 de febrero de 2015 ;Magdalena;2018-06-14 14:52;Ríos Directos al Magdalena (mi);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
21;26035090;LA LAGUNA DE CAJIBIO [26035090];Climática Principal;Automática con Telemetría;Suspendida;2004-10-04;1872;2.699175;-76.59544444;Cauca;Cajibío;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;;Magdalena;2016-01-06;Río Piendamo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
22;21057100;TALAGA TOEZ - AUT [21057100];Limnigráfica;Automática con Telemetría;Suspendida;1991-09-01;1900;2.70555556;-76.02219444;Cauca;Páez (Belalcázar);Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;;Paez;2007-04-26;Río Páez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
23;52025090;LA SIERRA - AUT [52025090];Climática Principal;TEST005;En Mantenimiento;2005-09-23;1870;2.19383333;-76.75033333;Cauca;La Sierra;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;22/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;0;;Río Guachicono;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Nariñense-Pacifico,Radiación Ultravioleta,Radiación Visible,
24;21015060;MARENGO  - AUT [21015060];Agrometeorológica;Automática con Telemetría;En Mantenimiento;2005-07-23;1550;2.22111111;-76.11888889;Huila;Pitalito;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Actualizado Tipo de Transmision y Estado. (01022023);0;;Río Páez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
25;26015010;EL TABLAZO - AUT [26015010];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-06-28;1837;2.47483306;-76.58129361;Cauca;Popayán;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;;0;;Alto Río Cauca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
26;52015050;BALBOA - AUT [52015050];Climática Principal;TEST005;En Mantenimiento;2005-09-27;1700;2.03277778;-77.22166667;Cauca;Balboa (Cauca);Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;EL GRUPO DE AUTOMATIZACIÓN REPORTA QUE LA ESTACIÓN DEJO DE TRANSMITIR EL 16/11/22. ESTACIÓN EN MANTENIMIENTO (06/12/2022);0;;Río Patia Alto;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
27;53075020;EL DIVISO - AUT [53075020];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-09-29;1750;2.31141667;-77.25877778;Cauca;Argelia (Cauca);Area Operativa 07 - Nariño-Putumayo;Pacifico;Tapaje - Dagua - Directos;22/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;0;;Río San Juan del Micay;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
28;21017020;SAN AGUSTIN - AUT [21017020];Limnimétrica;Convencional;Activa;1971-04-15;1233;1.87027778;-76.23161111;Huila;San Agustín;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Actualizada categoria de LG a LM por solicitud de la coordinadora del AO (28022023);Sombrerillos;;Alto Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
29;21015040;LA PRIMAVERA - AUT [21015040];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-07-28;1919;2.02158333;-76.11433333;Huila;Saladoblanco;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;;0;;Ríos Directos al Magdalena (mi);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
30;48017050;BOCATOMA YAGUARCACA [48017050];Limnimétrica;Convencional;Suspendida;1989-12-15;83;-4.19047222;-69.95027778;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;;Quebrada Yahuarcaca;2014-01-14;Directos Río Amazonas (mi);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
31;21097070;PUENTE SANTANDER [21097070];Limnigráfica;TEST005;Activa;1960-09-15;431;2.94261111;-75.30852778;Huila;Neiva;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Actualizada Tecnologia y Tipo de Transmision por solicitud del coordinador del AO. (01022023);Magdalena;;Rio Fortalecillas y otros;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Alto Magdalena Huila -Tolima,RED ALERTAS - AREA OPERATIVA 04,
32;53077010;ANGOSTURA RIO MICAY [53077010];Limnigráfica;TEST005;Activa;1960-03-15;120;2.80122222;-77.24102778;Cauca;López;Area Operativa 07 - Nariño-Putumayo;Pacifico;Tapaje - Dagua - Directos;;Micay;;Río San Juan del Micay;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
33;21117100;PUEBLO NUEVO - AUT [21117100];Limnigráfica;TEST005;En Mantenimiento;1983-06-15;1280;2.82744444;-75.08883333;Huila;Neiva;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Actualizacion de Tecnologia y Tipo de Transmision por solicitud del coordinador del AO. (01022023);Ceibas;;Rio Fortalecillas y otros;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
34;57025020;GORGONA GUAPI [57025020];Climática Principal;TEST005;Activa;2005-09-18;10;2.96294444;-78.17436111;Cauca;Guapi;Area Operativa 07 - Nariño-Putumayo;Orinoco;Guaviare;;0;;Medio Guaviare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
35;25027980;UNION LA [25027980];Limnigráfica;Convencional;Suspendida;1976-10-15;23;8.7;-74.31666667;Bolívar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cga. La Iguana;1976-11-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
36;25027640;TRES CRUCES [25027640];Limnimétrica;Convencional;Activa;1974-09-15;31;8.70308333;-74.51730556;Bolívar;Achí;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cauca;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
37;25020030;GUACAMAYO [25020030];Pluviométrica;Convencional;Activa;1966-07-15;30;8.72722222;-74.51222222;Bolívar;Achí;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cauca;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
38;25028210;CNO VIDE [25028210];Limnimétrica;Convencional;Suspendida;1974-09-15;21;8.78333333;-74.33333333;Bolívar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cno Vide;1981-07-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
39;25027400;ALTO DEL ROSARIO [25027400];Limnimétrica;Convencional;Activa;1973-07-15;24;8.79444444;-74.16027778;Bolívar;Altos Del Rosario;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cno Las Palomas;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
40;25028220;NO TE PASES HACIENDA [25028220];Limnimétrica;Convencional;Suspendida;1978-06-15;21;8.8;-74.33333333;Bolívar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cno Tapoa;1981-07-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
41;25028230;PUERTO CARMEN [25028230];Limnimétrica;Convencional;Suspendida;1976-06-15;22;8.81666667;-74.31666667;Bolívar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cno Tapoa;1981-07-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
42;25027390;PALOMAS LAS [25027390];Limnimétrica;Convencional;Activa;1973-07-15;24;8.83055556;-74.17055556;Bolívar;Altos Del Rosario;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Magdalena;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02,
43;25028240;NUEVO HORIZONTE [25028240];Limnimétrica;Convencional;Suspendida;1979-09-15;21;8.86666667;-74.35;Bolívar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Bzo De Loba;1981-07-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
44;25027990;CONTENTO EL [25027990];Limnimétrica;Convencional;Suspendida;1974-09-15;20;8.88333333;-74.45;Bolívar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Bzo De Tapoa;1981-07-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
45;25028410;MANTEQUERA [25028410];Limnimétrica;Convencional;Suspendida;1974-09-15;20;8.88333333;-74.45;Bolívar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cga. Mantequera;1981-07-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
46;25020410;CANDELARIA LA [25020410];Pluviométrica;Convencional;Activa;1966-07-15;28;8.21944444;-74.72875;Bolívar;San Jacinto Del Cauca;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Vaupes;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
47;25027280;CANDELARIA LA [25027280];Limnimétrica;Convencional;Suspendida;1966-11-15;22;8.23333333;-74.71666667;Bolívar;San Jacinto Del Cauca;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cauca;1969-05-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
48;25028350;MANCHA LA [25028350];Limnimétrica;Convencional;Suspendida;1979-09-15;30;8.26666667;-74.58333333;Bolívar;San Jacinto Del Cauca;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cno Rompedero;1999-07-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
49;13090030;BERRUGAS [13090030];Pluviométrica;Convencional;Activa;1974-04-15;1;9.91027778;-75.60055556;Sucre;San Onofre;Area Operativa 02 - Atlántico-Bolivar-Sucre;Caribe;Atrato - Darién;;Cno Rompedero;;Río Andágueda;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
50;25027880;GALINDO [25027880];Limnimétrica;Convencional;Suspendida;1975-04-15;33;8.3;-74.58333333;Bolívar;San Jacinto Del Cauca;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cauca;2002-05-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
51;25025230;MONTECRISANTO [25025230];Climática Ordinaria;Convencional;Suspendida;1974-08-15;100;8.3;-74.48333333;Bolívar;Montecristo;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;;Cauca;2004-11-15;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
52;48017010;LETICIA [48017010];Limnigráfica;Convencional;Activa;1986-05-15;120;-4.22252778;-69.94272222;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;;Amazonas;;Directos Río Amazonas (mi);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 11,
53;25020450;MONTECRISANTO [25020450];Pluviométrica;Convencional;Suspendida;1966-07-15;80;8.3;-74.43333333;Bolívar;Montecristo;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;0;1974-10-15;Río Palacé;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
54;21057030;PUENTE RICAURTE - AUT [21057030];Limnigráfica;Convencional;Suspendida;1971-06-15;1140;2.52;-75.96;Cauca;Páez (Belalcázar);Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;Estacion suspendida por solicitud Coordinadora AO 04 REQ 008617.;Paez;2020-12-18 16:11;Río Páez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
55;21055070;INZA - AUT [21055070];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-11-11;1800;2.54819444;-76.06394444;Cauca;Inzá;Area Operativa 04 - Huila-Caquetá;Magdalena Cauca;Alto Magdalena;;0;;Río Páez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
56;26075120;LA DIANA - AUT [26075120];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-06-26;1615;3.31405556;-76.18569444;Valle del Cauca;Florida;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;;0;;Río Guachal (Bolo - Fraile y Párraga);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
57;21167090;HACIENDA EL RUBY - AUT [21167090];Limnigráfica;Convencional;Activa;1991-08-15;450;4.01105556;-74.71902778;Tolima;Cunday;Area Operativa 10 - Tolima;Magdalena Cauca;Alto Magdalena;;Cunday;;Río Prado;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
58;26095320;EL VINCULO - AUT [26095320];Agrometeorológica;TEST005;En Mantenimiento;2005-06-24;980;3.36041667;-76.30000556;Valle del Cauca;Florida;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;Por REQ2021-000578 Se hacen ajustes solicitados por la Coordinadora del AO 09.;0;;Río Guachal (Bolo - Fraile y Párraga);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
59;26135320;NEVADO SANTA ISABEL  - AUT [26135320];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-10-17;4757;4.80261111;-75.38047222;Caldas;Villamaria;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;Por REQ2021-000578 Se hacen ajustes solicitados por la Coordinadora del AO 09.|22/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;0;;Río Otún y otros directos al Cauca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
60;54077210;JUANCHACO - AUT [54077210];Mareográfica;Automática con Telemetría;En Mantenimiento;2005-06-23;18;3.92514722;-77.34900556;Valle del Cauca;Buenaventura;Area Operativa 09 - Cauca-Valle-Caldas;Pacifico;San Juán;22/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;Oceano Pacifico;;Ríos Calima y  Bajo San Juan;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
61;21195170;PAQUILO - AUT [21195170];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-07-23;2957;3.99361111;-74.39805556;Cundinamarca;Cabrera (Cundinamarca);Area Operativa 11 - Cundinamarca-Amazonas;Magdalena Cauca;Alto Magdalena;Actualizado Tipo de Transmision y Estado por solicitud de la coordinadora del AO. (21032023);0;;Río Sumapaz;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
62;26055120;UNIVERSIDAD DEL VALLE  - AUT [26055120];Climática Principal;TEST005;En Mantenimiento;2006-11-26;996;3.378;-76.53388889;Valle del Cauca;Cali;Area Operativa 09 - Cauca-Valle-Caldas;Magdalena Cauca;Cauca;Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación;0;;Ríos Lilí, Melendez y Canaveralejo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
